index	desired	output	error
18	0.9905	-0.0004	0.9909
19	-1.3636	0.0098	-1.3734
20	1.1554	0.0062	1.1492
21	1.1477	-0.0079	1.1556
22	1.1630	-0.0120	1.1751
23	-1.3765	-0.0210	-1.3555
24	1.1480	0.0111	1.1369
25	1.1454	0.0227	1.1227
26	-1.1347	0.0070	-1.1417
27	-0.9330	-0.0403	-0.8928
28	-1.0512	0.0038	-1.0550
29	0.8577	0.0375	0.8202
30	0.9938	0.0204	0.9734
31	0.8857	-0.0384	0.9241
32	-0.7952	-0.0295	-0.7658
33	0.7944	0.0229	0.7715
34	1.3316	0.0161	1.3155
35	-0.9067	-0.0166	-0.8901
36	1.2083	-0.0052	1.2135
37	1.2651	0.0021	1.2630
38	-1.1717	-0.0128	-1.1588
39	-1.3837	-0.0242	-1.3595
40	1.0804	0.0148	1.0656
41	-0.8418	0.0299	-0.8717
42	0.7902	-0.0073	0.7975
43	-0.9871	-0.0446	-0.9425
44	1.0906	0.0079	1.0827
45	-1.3677	0.0243	-1.3920
46	1.1597	0.0552	1.1045
47	-1.0689	-0.0637	-1.0052
48	0.9032	-0.0327	0.9359
49	1.0529	0.0369	1.0159
50	0.7051	-0.0055	0.7106
51	0.9619	-0.0428	1.0047
52	0.7690	-0.0057	0.7748
53	0.8708	-0.0074	0.8782
54	0.8414	-0.0135	0.8549
55	0.9070	0.0029	0.9040
56	-1.2425	0.0499	-1.2924
57	-1.2462	-0.0241	-1.2221
58	0.9672	0.0379	0.9293
59	-1.0186	-0.0301	-0.9885
60	0.9241	0.0002	0.9240
61	-1.1444	0.0413	-1.1856
62	1.1700	0.0194	1.1506
63	0.6680	-0.0443	0.7123
64	0.8721	0.0197	0.8524
65	1.0160	0.0276	0.9884
66	-0.7627	0.0167	-0.7793
67	-1.0403	0.0108	-1.0511
68	1.0011	0.0363	0.9649
69	0.7708	-0.0636	0.8343
70	-1.3460	0.0388	-1.3848
71	-1.1051	0.0188	-1.1239
72	-0.6990	0.0130	-0.7121
73	0.6596	-0.0825	0.7420
74	-1.1641	0.0418	-1.2059
75	1.0654	0.0263	1.0391
76	-1.0844	-0.0072	-1.0772
77	1.2779	-0.0003	1.2782
78	-1.0177	-0.0392	-0.9785
79	1.1034	0.0199	1.0835
80	-1.5781	-0.0146	-1.5635
81	-1.0597	0.0318	-1.0915
82	0.9782	-0.0592	1.0373
83	0.9245	-0.0239	0.9483
84	1.3844	0.0355	1.3489
85	-0.7263	-0.0100	-0.7163
86	0.7825	0.0234	0.7591
87	-1.2008	-0.0475	-1.1532
88	1.0644	-0.0108	1.0751
89	1.0186	-0.0351	1.0537
90	-0.9525	0.0310	-0.9835
91	1.0888	-0.0362	1.1250
92	0.7608	-0.0153	0.7761
93	-1.2518	-0.0069	-1.2449
94	-0.3097	0.0804	-0.3901
95	1.0636	-0.0435	1.1072
96	1.0161	0.0560	0.9601
97	1.0643	-0.0489	1.1132
98	0.8856	-0.0058	0.8914
99	-1.4364	-0.0853	-1.3511
100	0.8467	-0.1041	0.9508
101	1.1290	0.0807	1.0483
102	1.2377	0.0225	1.2153
103	1.2917	0.0898	1.2019
104	1.1554	-0.0706	1.2260
105	-0.9900	-0.0146	-0.9754
106	1.1502	-0.0536	1.2038
107	-0.9678	0.0197	-0.9875
108	-0.8269	0.0155	-0.8423
109	1.0905	0.0119	1.0786
110	1.1361	0.0260	1.1101
111	1.1426	-0.0087	1.1512
112	-1.2381	-0.0679	-1.1702
113	0.9974	-0.0125	1.0098
114	1.1509	0.0510	1.0999
115	1.1193	0.0411	1.0781
116	1.1460	-0.0169	1.1629
117	-0.7205	-0.0507	-0.6699
118	0.9048	-0.0077	0.9125
119	0.8623	-0.0677	0.9300
120	-1.1944	-0.0094	-1.1850
121	-0.8451	-0.0047	-0.8405
122	0.7882	0.0541	0.7341
123	1.0168	0.0453	0.9715
124	-0.9120	0.0004	-0.9125
125	-1.0927	-0.0312	-1.0615
126	-1.0196	-0.0083	-1.0113
127	0.8572	-0.0367	0.8939
128	1.2802	0.0462	1.2340
129	-1.2342	-0.0258	-1.2084
130	-0.9984	0.0365	-1.0349
131	1.3317	0.0114	1.3202
132	1.0154	-0.0395	1.0548
133	-1.0288	-0.0150	-1.0138
134	0.7622	-0.0334	0.7956
135	-1.0194	0.0437	-1.0631
136	1.3775	0.0433	1.3342
137	0.8693	-0.0400	0.9092
138	-0.8353	0.0237	-0.8590
139	0.8982	-0.0383	0.9365
140	-1.2535	-0.0457	-1.2079
141	-1.4096	-0.0785	-1.3311
142	-0.8791	-0.0013	-0.8777
143	-0.9952	0.0663	-1.0615
144	-0.6436	0.0601	-0.7037
145	-0.8602	0.1422	-1.0024
146	0.8905	-0.0806	0.9712
147	-1.1762	-0.0857	-1.0906
148	0.7808	-0.0374	0.8182
149	1.0035	-0.0100	1.0134
150	0.6659	-0.0270	0.6929
151	0.9636	-0.0108	0.9744
152	0.7450	0.0492	0.6958
153	-0.8926	-0.0150	-0.8776
154	0.5937	-0.1475	0.7411
155	-1.1875	-0.0582	-1.1293
156	-1.1656	0.0649	-1.2305
157	1.1125	0.0741	1.0384
158	-0.8969	-0.0358	-0.8610
159	-1.1312	-0.0497	-1.0814
160	-0.9627	-0.0171	-0.9456
161	0.8525	-0.0274	0.8798
162	0.9416	-0.0272	0.9689
163	0.9370	0.0006	0.9364
164	-0.9703	0.0982	-1.0685
165	-0.4948	0.0746	-0.5694
166	-1.0989	0.0049	-1.1037
167	0.8357	-0.1392	0.9749
168	0.8337	-0.0276	0.8613
169	-1.4584	-0.0479	-1.4105
170	-1.1620	0.0109	-1.1729
171	0.8844	-0.0547	0.9391
172	0.7289	-0.0477	0.7766
173	-1.3721	-0.0256	-1.3465
174	0.8408	-0.0561	0.8969
175	1.0109	-0.0193	1.0301
176	0.8598	-0.1052	0.9650
177	-1.0159	0.1169	-1.1328
178	0.8309	0.0054	0.8255
179	1.2946	0.0508	1.2438
180	-0.9079	-0.0264	-0.8815
181	1.3342	0.0487	1.2854
182	1.4041	0.1112	1.2929
183	-0.7257	0.1411	-0.8668
184	-1.0207	0.0234	-1.0441
185	-1.1511	-0.0653	-1.0858
186	-0.9697	-0.0401	-0.9296
187	-1.1685	-0.0911	-1.0773
188	-0.4407	0.0143	-0.4550
189	0.8046	0.0202	0.7844
190	0.9037	-0.0623	0.9660
191	1.1194	0.0156	1.1037
192	0.9641	-0.0342	0.9983
193	-0.9102	-0.0335	-0.8767
194	1.1328	0.0726	1.0602
195	-1.1884	0.0687	-1.2571
196	0.9696	0.0966	0.8730
197	-1.1006	-0.0081	-1.0925
198	-0.8859	0.0363	-0.9222
199	0.8784	-0.0101	0.8885
200	-1.2600	0.0723	-1.3323
201	-0.8435	0.0767	-0.9202
202	-0.7299	-0.0054	-0.7245
203	-0.8403	-0.0266	-0.8138
204	0.8985	-0.1020	1.0005
205	-0.9607	0.0191	-0.9798
206	-1.1033	-0.0538	-1.0495
207	-0.8822	0.0246	-0.9068
208	0.9880	-0.0147	1.0026
209	1.1694	0.0104	1.1590
210	0.8417	-0.0070	0.8487
211	-1.2853	-0.0798	-1.2055
212	-0.9720	0.0348	-1.0068
213	0.9820	0.0098	0.9721
214	-1.2161	-0.0410	-1.1751
215	-0.9389	0.0273	-0.9662
216	-1.0968	0.0074	-1.1042
217	-0.7520	0.0517	-0.8037
218	-1.0173	0.0219	-1.0391
219	-0.9450	0.0487	-0.9937
220	-1.0562	0.0049	-1.0611
221	-0.8318	0.0015	-0.8332
222	-1.3682	-0.0358	-1.3323
223	0.9421	0.0009	0.9413
224	-0.6299	0.0365	-0.6664
225	1.5316	0.0900	1.4415
226	-1.0683	-0.0260	-1.0423
227	-1.3046	-0.0019	-1.3027
228	0.6529	-0.1456	0.7986
229	1.2321	0.0207	1.2114
230	0.9513	-0.0706	1.0220
231	-0.9101	0.0610	-0.9710
232	-1.0698	0.0198	-1.0897
233	0.7870	0.0526	0.7344
234	0.9320	-0.0189	0.9510
235	-1.0514	-0.0392	-1.0122
236	-1.0399	-0.0466	-0.9933
237	-0.9218	0.1157	-1.0375
238	0.9093	0.0342	0.8751
239	1.0782	-0.0235	1.1017
240	-1.1380	-0.0971	-1.0409
241	0.6875	-0.0568	0.7443
242	-1.0249	0.0099	-1.0348
243	1.0371	0.0395	0.9976
244	-1.0507	-0.0540	-0.9967
245	1.2386	0.1006	1.1380
246	-1.0935	0.0246	-1.1181
247	1.6041	0.0281	1.5760
248	1.1369	-0.0725	1.2095
249	0.7064	-0.0610	0.7674
250	-0.9375	0.0250	-0.9624
251	0.9087	0.0544	0.8543
252	-1.2920	-0.1820	-1.1099
253	0.9914	0.0111	0.9803
254	0.9625	0.0208	0.9418
255	1.1107	0.1433	0.9674
256	-0.7448	0.0942	-0.8391
257	-0.6828	0.0611	-0.7439
258	1.2316	-0.0327	1.2643
259	-1.1113	-0.0480	-1.0634
260	0.8913	-0.0607	0.9521
261	-0.7058	0.0995	-0.8054
262	0.8029	-0.0886	0.8915
263	1.1126	0.0555	1.0571
264	-1.2555	0.0329	-1.2884
265	-1.0614	0.0049	-1.0663
266	0.8909	-0.0713	0.9622
267	1.0625	0.0103	1.0522
268	-0.9924	-0.0523	-0.9401
269	-0.9376	0.0776	-1.0152
270	-1.3977	-0.2302	-1.1675
271	1.4249	0.1514	1.2735
272	-1.0271	-0.0103	-1.0168
273	0.8696	0.0006	0.8690
274	-0.8347	-0.0093	-0.8253
275	-1.0932	0.0703	-1.1635
276	-0.5143	0.1038	-0.6181
277	-1.3111	-0.0318	-1.2793
278	-1.3127	-0.1852	-1.1275
279	-0.8730	0.0662	-0.9392
280	1.0071	-0.0046	1.0118
281	0.9111	-0.0404	0.9516
282	0.8017	-0.0150	0.8166
