index	desired	output	error
454	1.2988	-0.0259	1.3247
455	-1.1137	0.0959	-1.2096
456	-1.2730	-0.1914	-1.0816
457	1.0716	-0.0366	1.1082
458	-0.6502	0.1525	-0.8027
459	-0.7962	0.0852	-0.8814
460	-1.1769	-0.1882	-0.9888
461	1.3800	0.0219	1.3581
462	0.8984	0.0256	0.8728
463	1.1895	-0.1125	1.3019
464	0.9957	0.0820	0.9137
465	-1.0553	-0.1054	-0.9500
466	-0.6922	0.1053	-0.7975
467	-1.0047	0.1161	-1.1208
468	-1.1265	-0.1386	-0.9879
469	1.0716	-0.0200	1.0915
470	0.7713	-0.0940	0.8653
471	1.2426	0.1597	1.0829
472	-1.3699	-0.1715	-1.1984
473	-0.6390	0.1538	-0.7928
474	-0.8658	0.1963	-1.0621
475	1.2939	0.0678	1.2261
476	1.1545	0.0453	1.1092
477	0.7202	-0.1332	0.8534
478	0.7776	-0.0942	0.8718
479	-1.5232	-0.0166	-1.5066
480	-0.8341	0.0323	-0.8663
481	-1.0896	0.0533	-1.1429
482	-0.5697	0.0149	-0.5846
483	-0.8508	0.1462	-0.9969
484	-1.2703	-0.3125	-0.9578
485	-0.4437	0.2387	-0.6824
486	-1.0232	0.0985	-1.1216
487	-1.0325	-0.1134	-0.9191
488	0.9034	0.0083	0.8951
489	1.5499	0.1897	1.3602
490	0.9054	0.0480	0.8574
491	-0.9670	-0.0166	-0.9504
492	1.1684	0.0600	1.1085
493	-1.0116	0.0421	-1.0537
494	-1.1321	-0.2264	-0.9057
495	1.1632	0.3124	0.8508
496	1.0231	-0.3404	1.3635
497	-1.0218	0.1830	-1.2049
498	-1.2481	-0.2202	-1.0279
499	-0.8118	0.3023	-1.1141
500	1.0160	-0.1042	1.1202
501	0.9563	0.0937	0.8626
502	0.9794	0.0384	0.9410
503	-1.1517	-0.2377	-0.9141
504	1.0486	0.0514	0.9972
505	-1.1475	-0.0805	-1.0669
506	-0.8814	0.0170	-0.8983
507	-1.0932	-0.0480	-1.0452
508	1.1877	0.0265	1.1612
509	0.8142	-0.0322	0.8464
510	1.2365	-0.0928	1.3292
511	1.1926	0.1525	1.0401
512	0.5956	-0.3261	0.9218
513	1.2325	0.0609	1.1717
514	-0.6563	0.1944	-0.8506
515	0.9848	-0.0246	1.0095
516	0.7172	-0.1482	0.8654
517	1.0041	0.0174	0.9866
518	-0.5920	0.1442	-0.7362
519	0.8950	0.0088	0.8862
520	-1.1012	-0.0682	-1.0330
521	0.9240	0.0071	0.9169
522	0.8740	-0.1756	1.0495
523	1.0586	0.2126	0.8460
524	0.8007	-0.1661	0.9668
525	0.7788	-0.1574	0.9362
526	0.7462	-0.0691	0.8153
527	0.9280	0.0316	0.8964
528	1.1673	0.0353	1.1320
529	-0.8535	-0.1086	-0.7448
530	-0.6801	0.2235	-0.9036
531	1.0482	-0.1422	1.1903
532	-1.1348	-0.0523	-1.0824
533	0.5944	-0.1587	0.7531
534	0.8719	0.0554	0.8166
535	1.1635	0.1219	1.0416
536	1.0746	-0.0162	1.0907
537	-0.8520	-0.0321	-0.8200
538	0.6357	-0.1644	0.8002
539	-1.2598	-0.1863	-1.0736
540	1.3280	0.1410	1.1870
541	-1.3194	-0.1048	-1.2146
542	-0.9514	-0.0741	-0.8773
543	-0.3776	0.3060	-0.6836
544	1.1046	0.1136	0.9910
545	0.4325	-0.2623	0.6948
546	0.9288	-0.0185	0.9473
547	1.0947	0.2025	0.8922
548	-1.2232	-0.0616	-1.1617
549	1.4287	0.1717	1.2570
550	-1.0784	0.0274	-1.1058
551	0.9600	-0.2989	1.2588
552	-0.9848	0.0975	-1.0823
553	-0.9548	0.0184	-0.9732
554	0.7743	-0.1971	0.9714
555	0.8293	0.0021	0.8272
556	-0.8272	0.2847	-1.1119
557	0.4350	-0.1853	0.6203
558	1.0085	-0.1520	1.1605
559	1.0143	0.1489	0.8654
560	1.0637	-0.1411	1.2048
561	-0.7218	0.0456	-0.7675
562	0.5429	-0.1414	0.6843
563	0.8153	-0.1520	0.9673
564	-1.1011	0.0588	-1.1600
565	-1.1079	-0.1104	-0.9975
566	0.8908	0.0242	0.8666
567	-1.2426	-0.2081	-1.0344
568	-1.0104	0.1441	-1.1545
569	-1.1940	-0.0321	-1.1619
570	-1.0686	-0.0760	-0.9926
571	-1.2700	-0.0857	-1.1843
572	-0.9935	-0.2183	-0.7752
573	1.0754	0.1142	0.9612
574	0.9964	-0.1277	1.1241
575	0.9760	0.0712	0.9047
576	-0.8453	0.0391	-0.8844
577	-0.9528	0.0314	-0.9842
578	-1.1834	0.0038	-1.1872
579	1.0745	-0.0363	1.1108
580	0.8354	0.1456	0.6899
581	-1.2366	-0.1903	-1.0463
582	1.2475	0.1480	1.0995
583	-0.8903	0.0264	-0.9167
